lead_time_min,n_clean,median_km,q75_km,q90_km
30,2799936,170.3498077392578,301.1318054199219,434.700048828125
60,2799945,137.6868667602539,268.46549224853516,411.31724548339855
90,2799927,114.62508392333984,246.1769256591797,394.47333984375007
120,2799933,100.71535873413086,234.1823425292969,386.0354461669922
