R_excl_km,clean_fraction
10,0.9998770815198033
15,0.9997997675771868
20,0.9996212685668142
25,0.9990772206849
30,0.9975761900847007
40,0.9883365504424931
50,0.970936548857023
60,0.9489898995747109
