season,lead_time_min,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
SON,30,30,100,25,0.03093787718005006,493796
SON,30,30,100,40,0.04136120989234421,493796
SON,60,30,180,25,0.08471827605443766,385395
SON,60,30,180,40,0.1053853838269827,385395
SON,90,30,250,25,0.1100112896055674,312677
SON,90,30,250,40,0.14712306949343892,312677
SON,120,30,350,25,0.10015827606053425,236296
SON,120,30,350,40,0.15082354335240547,236296
