season,lead_time_min,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
JJAS,30,30,100,25,0.035745280827167054,748966
JJAS,30,30,100,40,0.045417281959394686,748966
JJAS,60,30,180,25,0.07838304933558958,609864
JJAS,60,30,180,40,0.09975338764052313,609864
JJAS,90,30,250,25,0.08950845160105787,511974
JJAS,90,30,250,40,0.12904756882185422,511974
JJAS,120,30,350,25,0.07668467521390832,403327
JJAS,120,30,350,40,0.1258482571213928,403327
