year,month,day,hour,minute,ncores
2020,9,13,15,30,15
2020,9,13,15,45,20
2020,9,19,15,30,16
2020,9,19,15,45,18
2020,9,20,15,15,16
2020,9,20,15,30,21
2020,9,20,15,45,20
2020,9,28,15,45,15
2020,9,30,15,0,24
2020,9,30,15,15,25
2020,9,30,15,30,28
2020,9,30,15,45,28
2020,9,4,14,0,18
2020,9,4,14,15,18
2020,9,4,14,30,21
2020,9,4,14,45,21
2020,9,5,14,0,17
2020,9,5,14,15,21
2020,9,5,14,30,29
2020,9,5,14,45,31
2020,9,13,14,45,15
2020,9,30,14,0,17
2020,9,30,14,15,18
2020,9,30,14,30,23
2020,9,30,14,45,23
2020,9,5,17,0,29
2020,9,5,17,15,25
2020,9,5,17,30,28
2020,9,5,17,45,32
2020,9,8,17,0,17
2020,9,8,17,15,18
2020,9,8,17,30,21
2020,9,8,17,45,21
2020,9,9,17,15,15
2020,9,11,17,0,15
2020,9,13,17,0,21
2020,9,13,17,15,20
2020,9,13,17,30,15
2020,9,13,17,45,15
2020,9,18,17,0,15
2020,9,18,17,15,17
2020,9,18,17,30,16
2020,9,18,17,45,16
2020,9,19,17,0,21
2020,9,19,17,15,23
2020,9,19,17,30,23
2020,9,19,17,45,20
2020,9,20,17,0,27
2020,9,20,17,15,25
2020,9,20,17,30,25
2020,9,20,17,45,27
2020,9,24,17,15,15
2020,9,24,17,45,15
2020,9,28,17,0,15
2020,9,29,17,0,18
2020,9,29,17,15,19
2020,9,29,17,30,18
2020,9,29,17,45,19
2020,9,30,17,0,25
2020,9,30,17,15,19
2020,9,30,17,30,16
2020,9,30,17,45,17
2020,9,4,16,0,15
2020,9,4,16,15,15
2020,9,4,16,30,16
2020,9,4,16,45,17
2020,9,5,16,0,28
2020,9,5,16,15,26
2020,9,5,16,30,28
2020,9,5,16,45,27
2020,9,8,16,0,15
2020,9,8,16,15,15
2020,9,8,16,30,16
2020,9,8,16,45,19
2020,9,9,16,15,16
2020,9,9,16,30,18
2020,9,11,16,0,17
2020,9,11,16,15,21
2020,9,11,16,30,18
2020,9,11,16,45,17
2020,9,13,16,15,19
2020,9,13,16,30,20
2020,9,13,16,45,20
2020,9,18,16,15,15
2020,9,18,16,30,16
2020,9,18,16,45,15
2020,9,19,16,0,21
2020,9,19,16,15,26
2020,9,19,16,30,19
2020,9,19,16,45,19
2020,9,20,16,0,23
2020,9,20,16,15,25
2020,9,20,16,30,28
2020,9,20,16,45,26
2020,9,28,16,0,15
2020,9,28,16,45,16
2020,9,29,16,0,16
2020,9,29,16,15,19
2020,9,29,16,30,24
2020,9,29,16,45,20
2020,9,30,16,0,31
2020,9,30,16,15,23
2020,9,30,16,30,27
2020,9,30,16,45,26
2020,9,20,22,0,15
2020,9,5,20,0,18
2020,9,5,20,15,21
2020,9,20,20,0,17
2020,9,20,20,15,15
2020,9,8,21,0,15
2020,9,20,21,0,19
2020,9,20,21,15,21
2020,9,20,21,45,17
