window,scale_km,model,persistence
3,9,0.0891897424673982,0.015110414918077
9,27,0.09515571269196246,0.02077959152136003
25,75,0.10779741062208913,0.053679189181202944
49,147,0.1195083007725877,0.14134593662524841
81,243,0.1256817392671325,0.2575184882728108
121,363,0.12628379847321922,0.3515069892591398
