window,scale_km,model,persistence
3,9,0.09403808995193232,0.009525686436682694
9,27,0.09822858265997866,0.011896699763480678
25,75,0.1078876579842505,0.022259828007608538
49,147,0.11819540841103243,0.05388039816428723
81,243,0.12508515245375607,0.1258078658238449
121,363,0.12789630847176917,0.23185240423637493
