window,scale_km,model,persistence
3,9,0.12316571973644187,0.012846935937429414
9,27,0.12800915748209368,0.017318254145806858
25,75,0.13730544604062134,0.04298793269812533
49,147,0.14453444210316507,0.12684377125038854
81,243,0.14742903303424199,0.2510904176870632
121,363,0.14720812398475616,0.35560851775955055
