window,scale_km,model,persistence
3,9,0.14631731229296566,0.3114971888620591
9,27,0.15391742740955025,0.3688503736476996
25,75,0.17032623032124675,0.5007675015317108
49,147,0.18508725212995064,0.6154916150184495
81,243,0.19184580528263476,0.6901248169512311
121,363,0.19133258967357694,0.7368723373347896
