window,scale_km,model,persistence
3,9,0.14069838173884094,0.20025910137653313
9,27,0.1485434048673013,0.256649502639161
25,75,0.16307487720691316,0.4134216853546696
49,147,0.17359597406939334,0.551133158373732
81,243,0.17716252187922069,0.6304441437950477
121,363,0.17570601090201401,0.6762601317468147
