window,scale_km,model,persistence
3,9,0.08012541276411128,0.008566313297062771
9,27,0.08688859186105014,0.010614777943409374
25,75,0.1019472892651655,0.019169307607703828
49,147,0.11707378810600681,0.045126049846577684
81,243,0.12674300461046584,0.09866158931384839
121,363,0.13051567117081195,0.17541588188608803
