window,scale_km,model,persistence
3,9,0.0932963341175418,0.008284606820618693
9,27,0.09707740132518786,0.010616077824917898
25,75,0.10571580090701958,0.02094487188721603
49,147,0.11473864935562648,0.051974392826478776
81,243,0.12040866052195869,0.12421062782589798
121,363,0.12256451722939654,0.23343698879316416
