window,scale_km,model,persistence
3,9,0.13279498388619074,0.008284606820618693
9,27,0.1418155570136359,0.010616077824917898
25,75,0.163068167557317,0.02094487188721603
49,147,0.18543274541068336,0.051974392826478776
81,243,0.19862062765877303,0.12421062782589798
121,363,0.20215377323120753,0.23343698879316416
