window,scale_km,model,persistence
3,9,0.30233808234299653,0.31064823088580235
9,27,0.32445182421349367,0.371333161895017
25,75,0.37235068469283594,0.5171644414781315
49,147,0.4104545828316382,0.6429340331021984
81,243,0.4201794339141739,0.7205948522371872
121,363,0.4156313785683251,0.7684747081997161
