window,scale_km,model,persistence
3,9,0.26655028700688677,0.2934689287101748
9,27,0.2912403998765267,0.3520472320754623
25,75,0.3459538370981277,0.4872072723710284
49,147,0.38838437002218545,0.5992841462009438
81,243,0.4001411075088247,0.6696929679343141
121,363,0.3971154916930387,0.7130921152488556
