window,scale_km,model,persistence
3,9,0.2506093689216976,0.26963347217250383
9,27,0.2743939420448466,0.3258265749357575
25,75,0.3264013196271203,0.45918799538174243
49,147,0.3650080537753338,0.5730708857594461
81,243,0.37431582071350517,0.6422436899220898
121,363,0.3703764257456612,0.6842050776460761
