window,scale_km,model,persistence
3,9,0.15565670401436765,0.0025665380004238013
9,27,0.16586596470032183,0.0033518133246864664
25,75,0.18820191273551443,0.007248401216902993
49,147,0.20910074284125862,0.020210889922093682
81,243,0.21991523679165617,0.05434672903126726
121,363,0.2222801798781747,0.11355397855787679
