window,scale_km,model,persistence
3,9,0.2406054072729228,0.18936749448083484
9,27,0.26351873522134456,0.24112920408200048
25,75,0.3081583300211039,0.3838383808897132
49,147,0.33563989371439834,0.5114837649697018
81,243,0.33756442631672445,0.5891844598484764
121,363,0.3299669963055458,0.636752583294177
