window,scale_km,model,persistence
3,9,0.14642529016127023,0.005009482063902395
9,27,0.15788245772314302,0.006291508016115384
25,75,0.18175722095012495,0.011684817861550107
49,147,0.20283604610896663,0.02877363747845764
81,243,0.2142342833213959,0.0694016458720964
121,363,0.2179439076222931,0.1310308841722882
