window,scale_km,model,persistence
3,9,0.17154223595062196,0.03139955533749119
9,27,0.18152727484063633,0.03957712834514865
25,75,0.20381857611646714,0.08060111041852773
49,147,0.22482742224410993,0.1938684159935565
81,243,0.2336003852949217,0.35127928322246593
121,363,0.2311095966976565,0.47559794082351803
