window,scale_km,model,persistence
3,9,0.14942067377103496,0.042608026421377
9,27,0.16095644962039657,0.05312988974934221
25,75,0.1865486291404826,0.0986800370791863
49,147,0.21005341596158952,0.20280740409666584
81,243,0.2197493135818796,0.32920245165324513
121,363,0.21719378224471508,0.42693344414776113
